OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
11324;B000055890;B000570492;Responsabile dell'attività di intermediazione;
11325;A000002989;A000549158;Responsabile dell'attività di intermediazione;
11326;A000153646;A000065089;Responsabile dell'attività di intermediazione;
11327;A000091483;A000390668;Responsabile dell'attività di intermediazione;
11328;B000099158;B000686525;Rappresentante Legale;
11329;A000154626;A000699298;Responsabile dell'attività di intermediazione;
11330;B000046713;B000465164;Amministratore Delegato;
11331;A000555254;A000575933;Responsabile dell'attività di intermediazione;
11332;B000302635;B000749186;Responsabile dell'attività di intermediazione;
11333;B000557509;B000672088;Rappresentante Legale;
11334;A000791638;A000746004;Responsabile dell'attività di intermediazione;
11335;B000100629;B000542579;Responsabile dell'attività di intermediazione;
11336;B000106336;B000106335;Responsabile dell'attività di intermediazione;
11337;A000159034;A000405226;Responsabile dell'attività di intermediazione;
11338;A000556839;A000575085;Responsabile dell'attività di intermediazione;
11339;A000434042;A000730596;Responsabile dell'attività di intermediazione;
11340;B000075804;B000701011;Rappresentante Legale;
11341;A000509787;A000668106;Responsabile dell'attività di intermediazione;
11342;A000558242;A000616461;Responsabile dell'attività di intermediazione;
11343;A000558246;A000460509;Responsabile dell'attività di intermediazione;
11344;A000010444;A000630724;Responsabile dell'attività di intermediazione;
11345;B000280304;B000055861;Responsabile dell'attività di intermediazione;
11346;A000082428;A000445028;Responsabile dell'attività di intermediazione;
11347;A000062941;A000287841;Responsabile dell'attività di intermediazione;
11348;A000142705;A000783395;Responsabile dell'attività di intermediazione;
11349;B000560677;B000789920;Responsabile dell'attività di intermediazione;
11350;A000002978;A000012117;Responsabile dell'attività di intermediazione;
11351;A000002978;A000741460;Responsabile dell'attività di intermediazione;
11352;A000068573;A000072780;Responsabile dell'attività di intermediazione;
11353;A000107015;A000428132;Responsabile dell'attività di intermediazione;
11354;A000382682;A000012216;Responsabile dell'attività di intermediazione;
11355;B000054306;B000053242;Responsabile dell'attività di intermediazione;
11356;B000013851;B000697116;Amministratore Delegato;
11357;A000068688;A000339712;Responsabile dell'attività di intermediazione;
11358;A000433772;A000560995;Responsabile dell'attività di intermediazione;
11359;B000075851;B000070982;Rappresentante Legale;
11360;A000085699;A000798051;Responsabile dell'attività di intermediazione;
11361;A000562217;A000565353;Responsabile dell'attività di intermediazione;
11362;B000064666;B000616933;Rappresentante Legale;
11363;B000274670;B000561758;Rappresentante Legale;
11364;A000180690;A000768331;Responsabile dell'attività di intermediazione;
11365;B000234225;B000495659;Rappresentante Legale;
11366;A000383238;A000565065;Responsabile dell'attività di intermediazione;
11367;A000117050;A000552625;Responsabile dell'attività di intermediazione;
11368;B000003382;B000580834;Responsabile dell'attività di intermediazione;
11369;B000003382;B000580834;Rappresentante Legale;
11370;A000005913;A000591853;Responsabile dell'attività di intermediazione;
11371;A000142045;A000142060;Responsabile dell'attività di intermediazione;
11372;B000355464;B000350499;Responsabile dell'attività di intermediazione;
11373;B000052982;B000758499;Responsabile dell'attività di intermediazione;
11374;B000052982;B000758499;Rappresentante Legale;
11375;B000187290;B000059134;Responsabile dell'attività di intermediazione;
11376;B000187290;B000059134;Rappresentante Legale;
11377;B000006668;B000602935;Responsabile dell'attività di intermediazione;
11378;B000464941;B000590063;Responsabile dell'attività di intermediazione;
11379;B000245173;B000570820;Responsabile dell'attività di intermediazione;
11380;B000245173;B000570820;Rappresentante Legale;
11381;B000245173;B000745898;Rappresentante Legale;
11382;A000123373;A000774772;Responsabile dell'attività di intermediazione;
11383;A000101044;A000194544;Responsabile dell'attività di intermediazione;
11384;A000154109;A000610411;Responsabile dell'attività di intermediazione;
11385;A000131322;A000567585;Responsabile dell'attività di intermediazione;
11386;A000002456;A000187127;Responsabile dell'attività di intermediazione;
11387;A000354285;A000567769;Responsabile dell'attività di intermediazione;
11388;A000098073;A000099731;Responsabile dell'attività di intermediazione;
11389;A000074076;A000569767;Responsabile dell'attività di intermediazione;
11390;A000568373;A000798028;Responsabile dell'attività di intermediazione;
11391;A000137951;A000385572;Responsabile dell'attività di intermediazione;
11392;A000568739;A000681764;Responsabile dell'attività di intermediazione;
11393;A000013704;A000184702;Responsabile dell'attività di intermediazione;
11394;A000442124;A000570883;Responsabile dell'attività di intermediazione;
11395;A000445054;A000438354;Responsabile dell'attività di intermediazione;
11396;A000167152;A000601457;Responsabile dell'attività di intermediazione;
11397;B000054349;B000561632;Responsabile dell'attività di intermediazione;
11398;A000079345;A000630677;Responsabile dell'attività di intermediazione;
11399;B000264941;B000065009;Responsabile dell'attività di intermediazione;
11400;A000268159;A000582544;Responsabile dell'attività di intermediazione;
11401;A000001496;A000575928;Responsabile dell'attività di intermediazione;
11402;A000154113;A000198659;Responsabile dell'attività di intermediazione;
11403;A000154454;A000735083;Responsabile dell'attività di intermediazione;
11404;A000061583;A000725696;Responsabile dell'attività di intermediazione;
11405;A000169738;A000076208;Responsabile dell'attività di intermediazione;
11406;A000532395;A000764516;Responsabile dell'attività di intermediazione;
11407;A000582747;A000655758;Responsabile dell'attività di intermediazione;
11408;A000169184;A000615514;Responsabile dell'attività di intermediazione;
11409;A000167080;A000736339;Responsabile dell'attività di intermediazione;
11410;B000728537;B000762037;Rappresentante Legale;
11411;A000005247;A000710437;Responsabile dell'attività di intermediazione;
11412;A000578150;A000578149;Responsabile dell'attività di intermediazione;
11413;A000577817;A000616213;Responsabile dell'attività di intermediazione;
11414;A000550252;A000580237;Responsabile dell'attività di intermediazione;
11415;B000013433;B000014318;Amministratore Delegato;
11416;B000308087;B000051222;Responsabile dell'attività di intermediazione;
11417;B000101934;B000115638;Responsabile dell'attività di intermediazione;
11418;A000348783;A000245025;Responsabile dell'attività di intermediazione;
11419;A000133430;A000275473;Responsabile dell'attività di intermediazione;
11420;A000000721;A000673121;Responsabile dell'attività di intermediazione;
11421;B000405695;B000051222;Responsabile dell'attività di intermediazione;
11422;A000010237;A000064494;Responsabile dell'attività di intermediazione;
11423;A000580352;A000725938;Responsabile dell'attività di intermediazione;
11424;A000580898;A000446413;Responsabile dell'attività di intermediazione;
11425;A000144140;A000757064;Responsabile dell'attività di intermediazione;
11426;A000171732;A000317764;Responsabile dell'attività di intermediazione;
11427;A000083501;A000794503;Responsabile dell'attività di intermediazione;
11428;B000583126;B000082215;Responsabile dell'attività di intermediazione;
11429;A000128028;A000128035;Responsabile dell'attività di intermediazione;
11430;A000046487;A000490856;Responsabile dell'attività di intermediazione;
11431;A000111425;A000279522;Responsabile dell'attività di intermediazione;
11432;A000140851;A000567769;Responsabile dell'attività di intermediazione;
11433;A000406613;A000516522;Responsabile dell'attività di intermediazione;
11434;A000336148;A000571752;Responsabile dell'attività di intermediazione;
11435;A000063645;A000312607;Responsabile dell'attività di intermediazione;
11436;B000197366;B000607758;Responsabile dell'attività di intermediazione;
11437;A000091000;A000053993;Responsabile dell'attività di intermediazione;
11438;A000583547;A000640175;Responsabile dell'attività di intermediazione;
11439;A000584778;A000751969;Responsabile dell'attività di intermediazione;
11440;A000330573;A000674687;Responsabile dell'attività di intermediazione;
11441;A000422022;A000572578;Responsabile dell'attività di intermediazione;
11442;A000587764;A000154706;Responsabile dell'attività di intermediazione;
11443;B000554669;B000558177;Rappresentante Legale;
11444;A000056359;A000700777;Responsabile dell'attività di intermediazione;
11445;B000587773;B000055861;Responsabile dell'attività di intermediazione;
11446;A000040081;A000585121;Responsabile dell'attività di intermediazione;
11447;A000587564;A000710795;Responsabile dell'attività di intermediazione;
11448;B000314111;B000314115;Rappresentante Legale;
11449;B000341000;B000419352;Rappresentante Legale;
11450;A000589822;A000674393;Responsabile dell'attività di intermediazione;
11451;A000008646;A000590370;Responsabile dell'attività di intermediazione;
11452;A000566250;A000275480;Responsabile dell'attività di intermediazione;
11453;A000144455;A000615099;Responsabile dell'attività di intermediazione;
11454;A000179878;A000658388;Responsabile dell'attività di intermediazione;
11455;B000090143;B000596482;Responsabile dell'attività di intermediazione;
11456;A000062790;A000144045;Responsabile dell'attività di intermediazione;
11457;A000588400;A000812631;Responsabile dell'attività di intermediazione;
11458;A000072111;A000754599;Responsabile dell'attività di intermediazione;
11459;A000590956;A000673932;Responsabile dell'attività di intermediazione;
11460;A000132076;A000352389;Responsabile dell'attività di intermediazione;
11461;A000516998;A000590778;Responsabile dell'attività di intermediazione;
11462;A000054249;A000245179;Responsabile dell'attività di intermediazione;
11463;B000014032;B000400942;Responsabile dell'attività di intermediazione;
11464;A000590852;A000584813;Responsabile dell'attività di intermediazione;
11465;A000162762;A000738930;Responsabile dell'attività di intermediazione;
11466;A000430547;A000679684;Responsabile dell'attività di intermediazione;
11467;B000335188;B000243223;Responsabile dell'attività di intermediazione;
11468;A000115834;A000595183;Responsabile dell'attività di intermediazione;
11469;A000161115;A000685633;Responsabile dell'attività di intermediazione;
11470;B000100256;B000541191;Rappresentante Legale;
11471;B000004269;B000782352;Responsabile dell'attività di intermediazione;
11472;A000052630;A000516803;Responsabile dell'attività di intermediazione;
11473;A000007886;A000567486;Responsabile dell'attività di intermediazione;
11474;B000074322;B000628238;Responsabile dell'attività di intermediazione;
11475;B000265428;B000331470;Rappresentante Legale;
11476;A000594868;A000771995;Responsabile dell'attività di intermediazione;
11477;A000068028;A000485044;Responsabile dell'attività di intermediazione;
11478;B000596198;B000656663;Responsabile dell'attività di intermediazione;
11479;B000596198;B000656663;Rappresentante Legale;
11480;A000594835;A000338481;Responsabile dell'attività di intermediazione;
11481;A000029738;A000590684;Responsabile dell'attività di intermediazione;
11482;A000596237;A000295921;Responsabile dell'attività di intermediazione;
11483;A000596237;A000607621;Responsabile dell'attività di intermediazione;
11484;B000076282;B000052560;Responsabile dell'attività di intermediazione;
11485;A000003850;A000758744;Responsabile dell'attività di intermediazione;
11486;B000595504;B000744435;Rappresentante Legale;
11487;A000085139;A000813482;Responsabile dell'attività di intermediazione;
11488;A000121588;A000584207;Responsabile dell'attività di intermediazione;
11489;A000050930;A000067837;Responsabile dell'attività di intermediazione;
11490;A000069523;A000605206;Responsabile dell'attività di intermediazione;
11491;A000275366;A000605206;Responsabile dell'attività di intermediazione;
11492;A000143469;A000504498;Responsabile dell'attività di intermediazione;
11493;A000373023;A000243642;Responsabile dell'attività di intermediazione;
11494;A000158284;A000629252;Responsabile dell'attività di intermediazione;
11495;B000084757;B000571350;Responsabile dell'attività di intermediazione;
11496;B000000144;B000668029;Amministratore Delegato;
11497;A000001856;A000580940;Responsabile dell'attività di intermediazione;
11498;A000136970;A000434063;Responsabile dell'attività di intermediazione;
11499;A000052383;A000052375;Responsabile dell'attività di intermediazione;
11500;B000128151;B000073708;Rappresentante Legale;
11501;A000316000;A000600836;Responsabile dell'attività di intermediazione;
11502;B000004300;B000622514;Responsabile dell'attività di intermediazione;
11503;A000137828;A000271444;Responsabile dell'attività di intermediazione;
11504;A000062277;A000751969;Responsabile dell'attività di intermediazione;
11505;A000181694;A000180890;Responsabile dell'attività di intermediazione;
11506;B000166985;B000487554;Rappresentante Legale;
11507;A000037484;A000601484;Responsabile dell'attività di intermediazione;
11508;A000602438;A000193147;Responsabile dell'attività di intermediazione;
11509;A000118415;A000243328;Responsabile dell'attività di intermediazione;
11510;A000000450;A000554371;Responsabile dell'attività di intermediazione;
11511;A000335416;A000013072;Responsabile dell'attività di intermediazione;
11512;A000123758;A000123760;Responsabile dell'attività di intermediazione;
11513;A000154812;A000723410;Responsabile dell'attività di intermediazione;
11514;B000006996;B000762814;Responsabile dell'attività di intermediazione;
11515;A000062672;A000554489;Responsabile dell'attività di intermediazione;
11516;B000038475;B000657485;Responsabile dell'attività di intermediazione;
11517;B000057410;B000014370;Responsabile dell'attività di intermediazione;
11518;A000173951;A000518676;Responsabile dell'attività di intermediazione;
11519;A000131323;A000079816;Responsabile dell'attività di intermediazione;
11520;A000122690;A000722523;Responsabile dell'attività di intermediazione;
11521;A000001587;A000179160;Responsabile dell'attività di intermediazione;
11522;A000156334;A000607840;Responsabile dell'attività di intermediazione;
11523;A000119032;A000644591;Responsabile dell'attività di intermediazione;
11524;A000076139;A000076131;Responsabile dell'attività di intermediazione;
11525;B000000725;B000775748;Rappresentante Legale;
11526;A000060444;A000578556;Responsabile dell'attività di intermediazione;
11527;A000118083;A000764715;Responsabile dell'attività di intermediazione;
11528;A000068302;A000072328;Responsabile dell'attività di intermediazione;
11529;B000408681;B000691645;Responsabile dell'attività di intermediazione;
11530;B000172784;B000606727;Responsabile dell'attività di intermediazione;
11531;A000119612;A000522906;Responsabile dell'attività di intermediazione;
11532;A000606963;A000186206;Responsabile dell'attività di intermediazione;
11533;A000056001;A000655903;Responsabile dell'attività di intermediazione;
11534;B000028614;B000014275;Responsabile dell'attività di intermediazione;
11535;B000426899;B000329683;Responsabile dell'attività di intermediazione;
11536;A000076467;A000571631;Responsabile dell'attività di intermediazione;
11537;A000606634;A000598850;Responsabile dell'attività di intermediazione;
11538;A000607650;A000154706;Responsabile dell'attività di intermediazione;
11539;A000061797;A000062434;Responsabile dell'attività di intermediazione;
11540;B000430361;B000667840;Rappresentante Legale;
11541;B000430361;B000804215;Rappresentante Legale;
11542;B000757383;B000758930;Rappresentante Legale;
11543;B000184645;B000607642;Responsabile dell'attività di intermediazione;
11544;B000060522;B000114899;Responsabile dell'attività di intermediazione;
11545;A000609382;A000494045;Responsabile dell'attività di intermediazione;
11546;A000155693;A000312707;Responsabile dell'attività di intermediazione;
11547;A000319766;A000701922;Responsabile dell'attività di intermediazione;
11548;A000005376;A000765412;Responsabile dell'attività di intermediazione;
11549;A000115625;A000612504;Responsabile dell'attività di intermediazione;
11550;A000139417;A000610567;Responsabile dell'attività di intermediazione;
11551;A000131632;A000435918;Responsabile dell'attività di intermediazione;
11552;B000118945;B000096955;Direttore Generale;
11553;B000609929;B000546299;Responsabile dell'attività di intermediazione;
11554;A000592210;A000698803;Responsabile dell'attività di intermediazione;
11555;B000068440;B000052429;Rappresentante Legale;
11556;A000606195;A000789926;Responsabile dell'attività di intermediazione;
11557;B000479529;B000051384;Responsabile dell'attività di intermediazione;
11558;B000479529;B000051384;Rappresentante Legale;
11559;B000609944;B000218547;Responsabile dell'attività di intermediazione;
11560;A000051035;A000700197;Responsabile dell'attività di intermediazione;
11561;B000612588;B000543832;Responsabile dell'attività di intermediazione;
11562;A000611589;A000615979;Responsabile dell'attività di intermediazione;
11563;B000484478;B000751321;Responsabile dell'attività di intermediazione;
11564;A000767699;A000770376;Responsabile dell'attività di intermediazione;
11565;B000403725;B000403726;Responsabile dell'attività di intermediazione;
11566;B000005353;B000537278;Rappresentante Legale;
11567;A000365503;A000611683;Responsabile dell'attività di intermediazione;
11568;B000610631;B000547257;Responsabile dell'attività di intermediazione;
11569;B000613537;B000446571;Responsabile dell'attività di intermediazione;
11570;B000613537;B000446571;Rappresentante Legale;
11571;A000194983;A000128160;Responsabile dell'attività di intermediazione;
11572;A000080595;A000116490;Responsabile dell'attività di intermediazione;
11573;B000135142;B000614542;Rappresentante Legale;
11574;A000154261;A000612783;Responsabile dell'attività di intermediazione;
11575;B000014089;B000756456;Responsabile dell'attività di intermediazione;
11576;A000173021;A000625788;Responsabile dell'attività di intermediazione;
11577;A000500548;A000307205;Responsabile dell'attività di intermediazione;
11578;A000592905;A000604654;Responsabile dell'attività di intermediazione;
11579;A000588630;A000584168;Responsabile dell'attività di intermediazione;
11580;A000166023;A000387237;Responsabile dell'attività di intermediazione;
11581;B000006464;B000613167;Responsabile dell'attività di intermediazione;
11582;B000006464;B000051384;Responsabile dell'attività di intermediazione;
11583;A000400384;A000400382;Responsabile dell'attività di intermediazione;
11584;B000616920;B000756141;Responsabile dell'attività di intermediazione;
11585;B000616934;B000521906;Responsabile dell'attività di intermediazione;
11586;A000011245;A000305050;Responsabile dell'attività di intermediazione;
11587;A000006774;A000391420;Responsabile dell'attività di intermediazione;
11588;A000617436;A000612017;Responsabile dell'attività di intermediazione;
11589;A000169161;A000426326;Responsabile dell'attività di intermediazione;
11590;B000191866;B000458954;Responsabile dell'attività di intermediazione;
11591;B000191866;B000458954;Amministratore Delegato;
11592;A000058507;A000611686;Responsabile dell'attività di intermediazione;
11593;A000181134;A000424179;Responsabile dell'attività di intermediazione;
11594;A000005696;A000410266;Responsabile dell'attività di intermediazione;
11595;A000134415;A000168783;Responsabile dell'attività di intermediazione;
11596;A000304756;A000562127;Responsabile dell'attività di intermediazione;
11597;A000058295;A000130902;Responsabile dell'attività di intermediazione;
11598;A000522654;A000121769;Responsabile dell'attività di intermediazione;
11599;A000160792;A000616875;Responsabile dell'attività di intermediazione;
11600;A000294932;A000637289;Responsabile dell'attività di intermediazione;
11601;A000057065;A000329189;Responsabile dell'attività di intermediazione;
11602;A000772933;A000681125;Responsabile dell'attività di intermediazione;
11603;A000062784;A000406797;Responsabile dell'attività di intermediazione;
11604;B000124898;B000654363;Responsabile dell'attività di intermediazione;
11605;A000439766;A000377154;Responsabile dell'attività di intermediazione;
11606;A000616709;A000617139;Responsabile dell'attività di intermediazione;
11607;A000275055;A000618733;Responsabile dell'attività di intermediazione;
11608;A000773838;A000541652;Responsabile dell'attività di intermediazione;
11609;A000005918;A000011879;Responsabile dell'attività di intermediazione;
11610;B000056438;B000397970;Rappresentante Legale;
11611;B000054084;B000054083;Responsabile dell'attività di intermediazione;
11612;A000087049;A000719470;Responsabile dell'attività di intermediazione;
11613;A000142559;A000713446;Responsabile dell'attività di intermediazione;
11614;A000010110;A000612591;Responsabile dell'attività di intermediazione;
11615;A000066634;A000445015;Responsabile dell'attività di intermediazione;
11616;B000054784;B000757576;Rappresentante Legale;
11617;B000000908;B000319820;Responsabile dell'attività di intermediazione;
11618;B000075346;B000773555;Rappresentante Legale;
11619;B000622259;B000542107;Responsabile dell'attività di intermediazione;
11620;A000373555;A000622457;Responsabile dell'attività di intermediazione;
11621;A000621664;A000012122;Responsabile dell'attività di intermediazione;
11622;A000058803;A000674010;Responsabile dell'attività di intermediazione;
11623;B000522018;B000557282;Amministratore Delegato;
11624;A000750019;A000171583;Responsabile dell'attività di intermediazione;
11625;B000498888;B000701683;Responsabile dell'attività di intermediazione;
11626;B000498888;B000701683;Rappresentante Legale;
11627;A000621450;A000347601;Responsabile dell'attività di intermediazione;
11628;A000621640;A000618358;Responsabile dell'attività di intermediazione;
11629;A000304710;A000613988;Responsabile dell'attività di intermediazione;
11630;A000620823;A000115889;Responsabile dell'attività di intermediazione;
11631;B000040022;B000623869;Rappresentante Legale;
11632;B000621145;B000218639;Responsabile dell'attività di intermediazione;
11633;A000074298;A000154956;Responsabile dell'attività di intermediazione;
11634;B000263176;B000558305;Rappresentante Legale;
11635;B000263176;B000751960;Rappresentante Legale;
11636;A000115807;A000625040;Responsabile dell'attività di intermediazione;
11637;B000109342;B000648133;Rappresentante Legale;
11638;B000405453;B000239508;Responsabile dell'attività di intermediazione;
11639;A000060430;A000623391;Responsabile dell'attività di intermediazione;
11640;A000505701;A000087810;Responsabile dell'attività di intermediazione;
11641;B000014214;B000773059;Rappresentante Legale;
11642;B000014214;B000014327;Responsabile dell'attività di intermediazione;
11643;B000002529;B000200451;Rappresentante Legale;
11644;A000079176;A000012622;Responsabile dell'attività di intermediazione;
11645;A000001439;A000164046;Responsabile dell'attività di intermediazione;
11646;A000100135;A000443608;Responsabile dell'attività di intermediazione;
11647;A000155388;A000510072;Responsabile dell'attività di intermediazione;
11648;A000083459;A000100698;Responsabile dell'attività di intermediazione;
11649;A000004138;A000171943;Responsabile dell'attività di intermediazione;
11650;A000052996;A000508930;Responsabile dell'attività di intermediazione;
11651;A000087867;A000107186;Responsabile dell'attività di intermediazione;
11652;A000116669;A000666913;Responsabile dell'attività di intermediazione;
11653;A000003242;A000291265;Responsabile dell'attività di intermediazione;
11654;A000132380;A000123867;Responsabile dell'attività di intermediazione;
11655;B000063912;B000064117;Responsabile dell'attività di intermediazione;
11656;B000063912;B000064117;Rappresentante Legale;
11657;A000073163;A000791476;Responsabile dell'attività di intermediazione;
11658;B000161974;B000602430;Responsabile dell'attività di intermediazione;
11659;B000161974;B000602430;Rappresentante Legale;
11660;B000401653;B000164840;Responsabile dell'attività di intermediazione;
11661;B000401653;B000164840;Amministratore Delegato;
11662;A000136656;A000347667;Responsabile dell'attività di intermediazione;
11663;A000009025;A000012762;Responsabile dell'attività di intermediazione;
11664;A000009025;A000683527;Responsabile dell'attività di intermediazione;
11665;B000128387;B000479911;Rappresentante Legale;
11666;A000379916;A000630884;Responsabile dell'attività di intermediazione;
11667;A000007574;A000561510;Responsabile dell'attività di intermediazione;
11668;A000009800;A000327242;Responsabile dell'attività di intermediazione;
11669;A000116145;A000512156;Responsabile dell'attività di intermediazione;
11670;A000173671;A000782828;Responsabile dell'attività di intermediazione;
11671;A000068298;A000068312;Responsabile dell'attività di intermediazione;
11672;A000006347;A000430727;Responsabile dell'attività di intermediazione;
11673;A000170321;A000388758;Responsabile dell'attività di intermediazione;
11674;A000006694;A000612952;Responsabile dell'attività di intermediazione;
11675;A000148052;A000178827;Responsabile dell'attività di intermediazione;
11676;A000509161;A000011684;Responsabile dell'attività di intermediazione;
11677;B000148365;B000617732;Rappresentante Legale;
11678;A000099146;A000443608;Responsabile dell'attività di intermediazione;
11679;A000002715;A000460390;Responsabile dell'attività di intermediazione;
11680;B000013853;B000014393;Responsabile dell'attività di intermediazione;
11681;A000162488;A000368147;Responsabile dell'attività di intermediazione;
11682;B000186110;B000114899;Responsabile dell'attività di intermediazione;
11683;B000071821;B000511663;Responsabile dell'attività di intermediazione;
11684;B000071821;B000511663;Rappresentante Legale;
11685;A000075364;A000078057;Responsabile dell'attività di intermediazione;
11686;A000113951;A000421556;Responsabile dell'attività di intermediazione;
11687;A000081329;A000118501;Responsabile dell'attività di intermediazione;
11688;A000099685;A000099799;Responsabile dell'attività di intermediazione;
11689;A000291168;A000504481;Responsabile dell'attività di intermediazione;
11690;A000070225;A000519127;Responsabile dell'attività di intermediazione;
11691;A000063647;A000245341;Responsabile dell'attività di intermediazione;
11692;A000015590;A000444364;Responsabile dell'attività di intermediazione;
11693;A000065214;A000163224;Responsabile dell'attività di intermediazione;
11694;A000104030;A000129540;Responsabile dell'attività di intermediazione;
11695;A000072190;A000699480;Responsabile dell'attività di intermediazione;
11696;A000766391;A000755840;Responsabile dell'attività di intermediazione;
11697;B000053104;B000573530;Responsabile dell'attività di intermediazione;
11698;A000002722;A000012062;Responsabile dell'attività di intermediazione;
11699;A000503242;A000499918;Responsabile dell'attività di intermediazione;
11700;A000170366;A000764799;Responsabile dell'attività di intermediazione;
11701;A000173331;A000452894;Responsabile dell'attività di intermediazione;
11702;A000179015;A000635253;Responsabile dell'attività di intermediazione;
11703;A000004146;A000245809;Responsabile dell'attività di intermediazione;
11704;A000100894;A000100916;Responsabile dell'attività di intermediazione;
11705;A000200064;A000198637;Responsabile dell'attività di intermediazione;
11706;A000169656;A000418309;Responsabile dell'attività di intermediazione;
11707;A000137185;A000734197;Responsabile dell'attività di intermediazione;
11708;A000050117;A000050107;Responsabile dell'attività di intermediazione;
11709;A000142042;A000191157;Responsabile dell'attività di intermediazione;
11710;A000354188;A000629169;Responsabile dell'attività di intermediazione;
11711;B000628897;B000628960;Rappresentante Legale;
11712;A000154464;A000348293;Responsabile dell'attività di intermediazione;
11713;A000142034;A000567943;Responsabile dell'attività di intermediazione;
11714;A000630365;A000791867;Responsabile dell'attività di intermediazione;
11715;A000173006;A000012703;Responsabile dell'attività di intermediazione;
11716;A000069281;A000339711;Responsabile dell'attività di intermediazione;
11717;A000009325;A000049419;Responsabile dell'attività di intermediazione;
11718;B000009326;B000373113;Responsabile dell'attività di intermediazione;
11719;A000083032;A000083057;Responsabile dell'attività di intermediazione;
11720;A000142795;A000074618;Responsabile dell'attività di intermediazione;
11721;A000002171;A000723865;Responsabile dell'attività di intermediazione;
11722;A000002723;A000012376;Responsabile dell'attività di intermediazione;
11723;A000390822;A000517184;Responsabile dell'attività di intermediazione;
11724;A000096687;A000523749;Responsabile dell'attività di intermediazione;
11725;A000009271;A000609988;Responsabile dell'attività di intermediazione;
11726;A000003203;A000573400;Responsabile dell'attività di intermediazione;
11727;A000119906;A000334209;Responsabile dell'attività di intermediazione;
11728;A000169636;A000234279;Responsabile dell'attività di intermediazione;
11729;A000170416;A000148135;Responsabile dell'attività di intermediazione;
11730;A000055056;A000012517;Responsabile dell'attività di intermediazione;
11731;A000164910;A000511116;Responsabile dell'attività di intermediazione;
11732;A000139742;A000139951;Responsabile dell'attività di intermediazione;
11733;A000059795;A000347771;Responsabile dell'attività di intermediazione;
11734;A000139770;A000139951;Responsabile dell'attività di intermediazione;
11735;A000002177;A000012594;Responsabile dell'attività di intermediazione;
11736;A000001742;A000703708;Responsabile dell'attività di intermediazione;
11737;A000007625;A000057384;Responsabile dell'attività di intermediazione;
11738;A000100325;A000625076;Responsabile dell'attività di intermediazione;
11739;A000076402;A000573295;Responsabile dell'attività di intermediazione;
11740;A000446729;A000594987;Responsabile dell'attività di intermediazione;
11741;A000001345;A000794351;Responsabile dell'attività di intermediazione;
11742;A000134004;A000133883;Responsabile dell'attività di intermediazione;
11743;B000061390;B000373113;Responsabile dell'attività di intermediazione;
11744;A000131453;A000517163;Responsabile dell'attività di intermediazione;
11745;A000115339;A000098426;Responsabile dell'attività di intermediazione;
11746;A000001490;A000602464;Responsabile dell'attività di intermediazione;
11747;A000007305;A000231740;Responsabile dell'attività di intermediazione;
11748;B000011470;B000433903;Rappresentante Legale;
11749;B000011470;B000052650;Responsabile dell'attività di intermediazione;
11750;A000068968;A000086582;Responsabile dell'attività di intermediazione;
11751;A000168824;A000468055;Responsabile dell'attività di intermediazione;
11752;A000156286;A000541361;Responsabile dell'attività di intermediazione;
11753;A000065295;A000065274;Responsabile dell'attività di intermediazione;
11754;B000497999;B000625699;Rappresentante Legale;
11755;A000141890;A000262901;Responsabile dell'attività di intermediazione;
11756;B000274643;B000730038;Responsabile dell'attività di intermediazione;
11757;A000007215;A000012172;Responsabile dell'attività di intermediazione;
11758;A000126644;A000121758;Responsabile dell'attività di intermediazione;
11759;A000262151;A000403276;Responsabile dell'attività di intermediazione;
11760;A000001971;A000012584;Responsabile dell'attività di intermediazione;
11761;A000169942;A000716995;Responsabile dell'attività di intermediazione;
11762;A000499860;A000632062;Responsabile dell'attività di intermediazione;
11763;A000001062;A000631792;Responsabile dell'attività di intermediazione;
11764;A000085852;A000128167;Responsabile dell'attività di intermediazione;
11765;B000713452;B000396977;Responsabile dell'attività di intermediazione;
11766;A000165371;A000434006;Responsabile dell'attività di intermediazione;
11767;A000087560;A000548297;Responsabile dell'attività di intermediazione;
11768;A000484820;A000266612;Responsabile dell'attività di intermediazione;
11769;B000633944;B000396977;Responsabile dell'attività di intermediazione;
11770;A000073770;A000291259;Responsabile dell'attività di intermediazione;
11771;B000634845;B000641591;Rappresentante Legale;
11772;A000048154;A000590950;Responsabile dell'attività di intermediazione;
11773;A000179325;A000747195;Responsabile dell'attività di intermediazione;
11774;A000000367;A000058179;Responsabile dell'attività di intermediazione;
11775;A000412879;A000636514;Responsabile dell'attività di intermediazione;
11776;B000081462;B000454730;Rappresentante Legale;
11777;A000101197;A000601771;Responsabile dell'attività di intermediazione;
11778;A000635226;A000086517;Responsabile dell'attività di intermediazione;
11779;A000087814;A000276081;Responsabile dell'attività di intermediazione;
11780;A000398011;A000580537;Responsabile dell'attività di intermediazione;
11781;A000099248;A000607757;Responsabile dell'attività di intermediazione;
11782;A000412159;A000478217;Responsabile dell'attività di intermediazione;
11783;B000013232;B000117871;Responsabile dell'attività di intermediazione;
11784;B000135944;B000568442;Responsabile dell'attività di intermediazione;
11785;A000617753;A000559181;Responsabile dell'attività di intermediazione;
